tweet	positive	negative	neutral
RT @hariadhi: Di dalam @inovator4id bukan cuma mas @budimandjatmiko lho. Ada banyak kandidat doktor dan PhD dari bbg disiplin ilmu, ada pen…	0	0	1
RT @hariadhi: Di dalam @inovator4id bukan cuma mas @budimandjatmiko lho. Ada banyak kandidat doktor dan PhD dari bbg disiplin ilmu, ada pen…	0	0	1
RT @hariadhi: Di dalam @inovator4id bukan cuma mas @budimandjatmiko lho. Ada banyak kandidat doktor dan PhD dari bbg disiplin ilmu, ada pen…	0	0	1
"Next round table: Artificial Inteligence and Deep Learning moderated by @cenits CEO.
#sumatenertic https://t.co/498iAhhb40"	0	1	0
Yesterday's November event @pydataberlin was truly enlightening and @jrieke gave an interesting talk on a topic/con… https://t.co/t4liSOIwLJ	1	0	0
RT @hariadhi: Di dalam @inovator4id bukan cuma mas @budimandjatmiko lho. Ada banyak kandidat doktor dan PhD dari bbg disiplin ilmu, ada pen…	0	0	1
RT @hariadhi: Di dalam @inovator4id bukan cuma mas @budimandjatmiko lho. Ada banyak kandidat doktor dan PhD dari bbg disiplin ilmu, ada pen…	0	0	1
RT @hariadhi: Di dalam @inovator4id bukan cuma mas @budimandjatmiko lho. Ada banyak kandidat doktor dan PhD dari bbg disiplin ilmu, ada pen…	0	0	1
Di dalam @inovator4id bukan cuma mas @budimandjatmiko lho. Ada banyak kandidat doktor dan PhD dari bbg disiplin ilm… https://t.co/VF5Vz4X6vv	0	0	1
"RT @Canadiansparty1: @FaithGoldy @jack Laura is openly Jewish 
The Liberal Nationalist Party of Hitler
 is An INVESTOR In 
ARTIFICIAL INTEL…"	0	1	0
"@FaithGoldy @jack Laura is openly Jewish 
The Liberal Nationalist Party of Hitler
 is An INVESTOR In 
ARTIFICIAL IN… https://t.co/PRgWTioCUJ"	0	1	0
Artificial inteligence is an accurate model for prediction, natural inteligence isn't. Forsight is sacrificed for v… https://t.co/j2k16Kmxuj	0	1	0
&lt;The final session&gt; @RepriseMediaUK's Data, Insights and Technology Manager Richard Page explains how you can use a… https://t.co/8tR1bOfvsL	0	0	1
Augmented Reality and Artificial Inteligence with Blippar at #muxl London #augmentedreality #artificialintelligence… https://t.co/0DTZ7WMgbm	0	1	0
